latitude,longitude,Units,Construction Year,Type,Area,Floors,Height
45.5049494,-73.5628028,1.0,1870.0,residential,113.0,2.0,15.0
45.5049706,-73.56286490000002,2.0,1870.0,residential,111.0,3.0,22.5
45.5054695,-73.563559,2.0,1880.0,residential,142.0,3.0,22.5
45.5053963,-73.5634747,2.0,1880.0,residential,142.0,3.0,22.5
45.50535929999999,-73.5633708,6.0,1880.0,residential,163.0,3.0,22.5
45.505376,-73.56325600000002,3.0,1870.0,residential,163.0,3.0,22.5
45.5053027,-73.5630527,14.0,1875.0,residential,315.0,3.0,22.5
45.505398,-73.56248470000001,2.0,1885.0,residential,128.0,3.0,22.5
45.5054262,-73.56254489999998,2.0,1885.0,residential,117.0,3.0,22.5
45.5054915,-73.5626041,2.0,1885.0,residential,115.0,3.0,22.5
45.505677,-73.56257020000002,63.0,1983.0,residential,520.0,7.0,52.5
45.508298,-73.5689893,8.0,1885.0,residential,529.0,3.0,22.5
45.50836779999999,-73.56913329999998,3.0,1885.0,residential,319.0,2.0,15.0
45.5084054,-73.56921070000001,3.0,1885.0,residential,319.0,2.0,15.0
45.50844489999999,-73.56929219999998,3.0,1885.0,residential,320.0,2.0,15.0
45.5086232,-73.56923570000002,3.0,1885.0,residential,320.0,2.0,15.0
45.5085396,-73.569434,5.0,1885.0,residential,320.0,3.0,22.5
45.508569,-73.5695188,4.0,1885.0,residential,320.0,3.0,22.5
45.5086485,-73.5696883,4.0,1885.0,residential,320.0,3.0,22.5
45.50867849999999,-73.5697522,2.0,1885.0,residential,320.0,3.0,22.5
45.5087301,-73.5698622,3.0,1900.0,residential,237.0,2.0,15.0
45.50879339999999,-73.56986410000002,1.0,1900.0,residential,240.0,2.0,15.0
45.50911960000001,-73.5702936,10.0,1900.0,residential,237.0,2.0,15.0
45.5090119,-73.570463,1.0,1900.0,residential,237.0,2.0,15.0
45.509055,-73.57055509999998,4.0,1885.0,residential,320.0,3.0,22.5
45.5090982,-73.57064709999999,4.0,1900.0,residential,321.0,3.0,22.5
45.50973339999999,-73.5723761,1.0,1875.0,Commercial,181.0,3.0,30.0
45.50974710000001,-73.5724053,4.0,1875.0,residential,200.0,3.0,22.5
45.50977460000001,-73.57246359999998,6.0,1875.0,Commercial,186.0,3.0,30.0
45.5098596,-73.5726445,4.0,1875.0,Commercial,184.0,3.0,30.0
45.50986,-73.5726454,1.0,1875.0,residential,179.0,3.0,22.5
45.50990460000001,-73.5727402,3.0,1875.0,residential,190.0,3.0,22.5
45.5099259,-73.5727855,2.0,1875.0,residential,199.0,3.0,22.5
45.5099563,-73.57285019999998,2.0,1880.0,residential,192.0,3.0,22.5
45.51003920000001,-73.5729382,68.0,1961.0,residential,398.0,9.0,67.5
45.51126190000001,-73.57566800000002,1.0,1989.0,residential,75.0,1.0,7.5
