url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~windsor/14113127?view=Summary&uc=2,45.569788,-72.003731,https://mspublic.centris.ca/media.ashx?id=ADDD250D47D05A2DD30EFA0D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"2,800 sqft","2,800 sqft",Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~val-d-or/18660672?view=Summary&uc=2,48.101662,-77.787571,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D53B78D11793CDD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1988,172 sqft,,Commercial (1),,"5,574 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~victoriaville/11514218?view=Summary&uc=2,46.056051,-71.957761,https://mspublic.centris.ca/media.ashx?id=ADDD250D49F76EEDD8691A8D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,040 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-therese/9961790?view=Summary&uc=2,45.63851238,-73.84250164,https://mspublic.centris.ca/media.ashx?id=ADDD250D11AD8F4DDFBD125D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1982,,500 sqft,,,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/9787016?view=Summary,45.519817,-73.563131,https://mspublic.centris.ca/media.ashx?id=ADDD250D46472F1DDFEEABBD12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Pastry shop,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17626607?view=Summary,45.51652889,-73.56001483,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DDE722D1D76E56D10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/industrial-buildings~for-rent~boisbriand/15123336?view=Summary&uc=2,45.62452897,-73.83162947,https://mspublic.centris.ca/media.ashx?id=ADDD250D479C557DD5A72BBD12&t=pi&w=1024&h=1024&sm=c,Industrial and offices,,"From 1,650 sqft to 4,950 sqft",,Industrial (2),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rosemont-la-petite-patrie-montreal/12377504?view=Summary&uc=2,45.538028,-73.613281,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DD27A9DD97338DD10&t=pi&w=1024&h=1024&sm=c,Commercial only,1922,746 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~sainte-agathe-des-monts/11437479?view=Summary&uc=2,46.05358477,-74.28751764,https://mspublic.centris.ca/media.ashx?id=ADDD250D45DBD62DD85BE80D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1970,"6,050 sqft","6,050 sqft",Commercial (1),,"19,525 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-julie/9966124?view=Summary&uc=2,45.59811035,-73.3412719,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D49BACDDFB1447D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1978,"1,200 sqft",,Commercial (1),,,,,,,,,,,
