url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-buildings~for-rent~montreal-nord-montreal/13167437?view=Summary&uc=2,45.580212,-73.636107,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DB4B82DD7B59C3D1E&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,1974,"3,496 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/14085772?view=Summary,45.51651518,-73.55447254,https://mspublic.centris.ca/media.ashx?id=ADDD250D46EB33EDD3A55B7D11&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1915,"3,886 sqft","3,135 sqft",Commercial (1),,"1,560 sqft",,,,,,Other,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/14857142?view=Summary,45.51593628,-73.55823714,https://mspublic.centris.ca/media.ashx?id=ADDD250D47002F3DD54929AD1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/industrial-buildings~for-sale~ville-marie-montreal/12657305?view=Summary,45.53900441,-73.55556573,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D4F799DD7144FFD1E&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1955,"5,880 sqft","5,880 sqft",Industrial (1),,"5,951 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/25047123?view=Summary&uc=2,45.50681925,-73.55324482,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F76E68D1052DE2D1D&t=pi&w=1024&h=1024&sm=c,Offices only,1903,"6,000 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~salaberry-de-valleyfield/20540402?view=Summary&uc=2,45.25279073,-74.12767568,https://mspublic.centris.ca/media.ashx?id=ADDD250D455A500D12FA964D1D&t=pi&w=1024&h=1024&sm=c,Commercial only,,"2,000 sqft",,Commercial (1),,,,,,,,Antique,,,
https://www.centris.ca/en/commercial-units~for-rent~vimont-laval/11444051?view=Summary&uc=2,45.59135338,-73.71490584,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D31CE6DD85F6E2D1A&t=pi&w=1024&h=1024&sm=c,Offices only,,"From 2,062 sqft to 4,752 sqft","2,690 sqft",Office (2),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/28593891?view=Summary,45.536944,-73.622678,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DE8B2BD19CC552D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2006,800 sqft,751 sqft,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/11003075?view=Summary,45.49456834,-73.57802419,https://mspublic.centris.ca/media.ashx?id=ADDD250D436AE45DD805C72D12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,"Fast food, Restaurant",,,
https://www.centris.ca/en/duplexes~for-sale~ville-marie-montreal/16722799?view=Summary,45.523959,-73.559982,https://mspublic.centris.ca/media.ashx?id=ADDD250D211F5D8DD6649A6D1B&t=pi&w=1024&h=1024&sm=c,Residential only,1880,,,Residential (2),Attached,"3,609 sqft",Driveway (2),"1 x 3 ½, 1 x 5 ½","5 rooms, 2 bedrooms, 2 bathrooms/powder rooms","$34,200",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/26985607?view=Summary&uc=2,45.75610101,-74.0198493,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A79E84D1F97CB0D1F&t=pi&w=1024&h=1024&sm=c,Offices only,,100 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/9085082?view=Summary,45.495886,-73.575402,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D1EEF1DDB88DF8D1A&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1885,"From 1,950 sqft to 4,900 sqft","1,950 sqft","Residential (2), Commercial (2)",,"3,024 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/23432257?view=Summary,45.507667,-73.562479,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D2BD6DD1AEB7C1D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1985,952 sqft,,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/27562918?view=Summary&uc=2,45.504378,-73.554517,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DAC12FD18CF28AD10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,730 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~salaberry-de-valleyfield/9271160?view=Summary&uc=2,45.27023847,-74.16219,https://mspublic.centris.ca/media.ashx?id=ADDD250D45506CFDDB3000BD10&t=pi&w=1024&h=1024&sm=c,Commercial only,1985,"11,755 sqft","9,655 sqft",Commercial (1),,"42,630 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/13941976?view=Summary&uc=2,45.68350282,-73.92558575,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A91C29DD3C973BD1E&t=pi&w=1024&h=1024&sm=c,Offices only,2017,134 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/20676994?view=Summary,45.529823,-73.545917,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D1CD08D129B1B4D10&t=pi&w=1024&h=1024&sm=c,Commercial only,1885,614 sqft,,Commercial (1),,,,,,,,Sale and repair of used bicycles and accessories,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-leonard-montreal/26806756?view=Summary&uc=2,45.59085046,-73.57554137,https://mspublic.centris.ca/media.ashx?id=ADDD250D45C2A91D1FFDF5CD14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1985,"From 650 sqft to 2,300 sqft",,Office (3),,,,,,,,,,,
https://www.centris.ca/en/industrial-buildings~for-rent~saint-laurent-montreal/24495160?view=Summary&uc=2,45.486225,-73.695545,https://mspublic.centris.ca/media.ashx?id=ADDD250D4664091D10E7C2BD1E&t=pi&w=1024&h=1024&sm=c,Industrial and offices,,"2,737 sqft",,Industrial (1),,"7,005 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~le-sud-ouest-montreal/9532003?view=Summary&uc=2,45.48127455,-73.56454391,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D0C6FBDDF104A2D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1964,"8,319 sqft","8,319 sqft",Commercial (1),,"3,120 sqft",,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17316886?view=Summary,45.522982,-73.581171,https://mspublic.centris.ca/media.ashx?id=ADDD250D4745F7AD1DB271AD1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/23204752?view=Summary&uc=2,45.503313,-73.553885,https://mspublic.centris.ca/media.ashx?id=ADDD250D45926EED1A412FDD14&t=pi&w=1024&h=1024&sm=c,Offices only,1950,"4,490 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~le-vieux-longueuil-longueuil/12760669?view=Summary&uc=2,45.532883,-73.490038,https://mspublic.centris.ca/media.ashx?id=ADDD250D453C0C3DD749AE3D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1972,"1,250 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-sud-ouest-montreal/27485603?view=Summary&uc=2,45.47161,-73.590069,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A5721D182AE82D10&t=pi&w=1024&h=1024&sm=c,Commercial only,1910,"4,750 sqft",,Commercial (1),,,,,,,,Commercial ,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/10117933?view=Summary,45.515369,-73.563646,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F61FEDDDF8A243D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/10821605?view=Summary,45.52781545,-73.5603784,https://mspublic.centris.ca/media.ashx?id=ADDD250D2145621DD8E165ED1B&t=pi&w=1024&h=1024&sm=c,Residential only,1910,,985 sqft,Residential (4),Attached,"1,900 sqft",,"2 x 3 ½, 2 x 5 ½","5 rooms, 2 bedrooms, 1 bathroom/powder room","$43,560",,,,,
https://www.centris.ca/en/commercial-units~for-rent~bromont/12928883?view=Summary&uc=2,45.318148,-72.656183,https://mspublic.centris.ca/media.ashx?id=ADDD250D4043A2CDD7EC002D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,138 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/13686579?view=Summary,45.495068,-73.575997,https://mspublic.centris.ca/media.ashx?id=ADDD250D4678CD0DD3D3022D1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Bar,,,
https://www.centris.ca/en/commercial-units~for-rent~lachenaie-terrebonne/28661841?view=Summary&uc=2,45.710742,-73.512251,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D17843D19EEBE1D1F&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,927 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/11685419?view=Summary,45.51978,-73.557024,https://mspublic.centris.ca/media.ashx?id=ADDD250D214F5A6DD94C549D12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Tanning salon,,,
https://www.centris.ca/en/commercial-units~for-rent~repentigny-repentigny/15441642?view=Summary&uc=2,45.753072,-73.431123,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA8237DD59F558D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2013,"1,831 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~mirabel/20859742?view=Summary&uc=2,45.67533,-73.935443,https://mspublic.centris.ca/media.ashx?id=ADDD250D469485DD125C9E5D1F&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,2014,"2,625 sqft",,Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~granby/25346861?view=Summary&uc=2,45.422294,-72.723845,https://mspublic.centris.ca/media.ashx?id=ADDD250D40E2C30D1B47243D10&t=pi&w=1024&h=1024&sm=c,Commercial only,,"From 3,000 sqft to 14,042 sqft",,Commercial (3),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~chelsea/25785657?view=Summary&uc=2,45.502944,-75.807402,https://mspublic.centris.ca/media.ashx?id=ADDD250D4698CAAD1BF0E2FD11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","3,069 sqft",,Commercial (1),,"43,003 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~vimont-laval/10996553?view=Summary&uc=2,45.649821,-73.748654,https://mspublic.centris.ca/media.ashx?id=ADDD250D13089BCDD8079CFD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,860 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~boucherville/17374330?view=Summary&uc=2,45.61393769,-73.4508068,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D5D8C7D1DF1708D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1966,"3,355 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~varennes/22651863?view=Summary&uc=2,45.63494824,-73.39431223,https://mspublic.centris.ca/media.ashx?id=ADDD250D45A8239D1EF8230D12&t=pi&w=1024&h=1024&sm=c,Industrial and offices,"Under construction, New","3,600 sqft",,Commercial (1),,"48,482 sqft",,,,,,,,,
https://www.centris.ca/en/5plex~for-sale~ville-marie-montreal/17070476?view=Summary,45.53474788,-73.56042066,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF9A9FD1DC0FB7D1E&t=pi&w=1024&h=1024&sm=c,Residential only,1928,,,Residential (5),Attached,"2,871 sqft","Driveway (3), Garage (2)","4 x 4 ½, 1 x 8 ½","8 rooms, 3 bedrooms, 1 bathroom/powder room","$64,680",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/12440353?view=Summary&uc=2,46.359263,-72.571161,https://mspublic.centris.ca/media.ashx?id=ADDD250D479D5FADD933241D12&t=pi&w=1024&h=1024&sm=c,Offices only,1956,860 sqft,,Office (1),,"18,223 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/13618450?view=Summary&uc=2,45.5403525,-73.57293831,https://mspublic.centris.ca/media.ashx?id=ADDD250D4316F93DD767314D1F&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,"1,030 sqft","1,030 sqft",Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/11460857?view=Summary,45.506894,-73.566148,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D7B802DD855D6FD11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~le-sud-ouest-montreal/19487746?view=Summary&uc=2,45.463664,-73.587286,https://mspublic.centris.ca/media.ashx?id=ADDD250D2146708D14FE7D4D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,143 sqft,,Commercial (1),,,,,,,,"Office, Retail space",,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/14831745?view=Summary&uc=2,45.497895,-73.566102,https://mspublic.centris.ca/media.ashx?id=ADDD250D4E42A2ADD54EDB1D1B&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,"3,614 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/5plex~for-sale~ville-marie-montreal/22895028?view=Summary,45.53582361,-73.55202337,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D42F5FD1E3EF9CD12&t=pi&w=1024&h=1024&sm=c,Residential only,1910,,,Residential (5),Semi-detached,,,"4 x 3 ½, 1 x 5 ½","3 rooms, 1 bedroom, 1 bathroom/powder room","$48,420",,,,,
https://www.centris.ca/en/commercial-units~for-rent~sorel-tracy/13134209?view=Summary&uc=2,46.0407366,-73.10235376,https://mspublic.centris.ca/media.ashx?id=ADDD250D46A5991DD7BAFB1D12&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1984,From 128 sqft to 692 sqft,,Office (5),,"7,937 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~dorval/18764984?view=Summary&uc=2,45.44453,-73.740592,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D3FAF0D115EC9BD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1959,"3,550 sqft","3,555 sqft",Commercial (1),,"3,748 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~salaberry-de-valleyfield/10395756?view=Summary&uc=2,45.260645,-74.132115,https://mspublic.centris.ca/media.ashx?id=ADDD250D4633CA6DDF58DA7D14&t=pi&w=1024&h=1024&sm=c,Commercial only,1989,"2,700 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rosemont-la-petite-patrie-montreal/23673232?view=Summary&uc=2,45.53023,-73.608352,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D289D0D1AF2FFDD1F&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1989,"2,500 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~saint-jean-sur-richelieu/18210659?view=Summary&uc=2,45.32518622,-73.26523351,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEC0ABD11E36A2D1E&t=pi&w=1024&h=1024&sm=c,Offices only,1989,"1,454 sqft",,Office (1),,"2,334 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/18503612?view=Summary,45.518721,-73.559481,https://mspublic.centris.ca/media.ashx?id=ADDD250D4642A83D118E097D1C&t=pi&w=1024&h=1024&sm=c,Commercial only,2009,684 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/28719056?view=Summary&uc=2,45.775141,-74.003044,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA5CECD19A203DD14&t=pi&w=1024&h=1024&sm=c,Offices only,,"23,500 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~westmount/23638953?view=Summary&uc=2,45.48647402,-73.58733729,https://mspublic.centris.ca/media.ashx?id=ADDD250D15C1AB0D1AB928FD1C&t=pi&w=1024&h=1024&sm=c,Offices only,,64 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/8457034?view=Summary&uc=2,46.38877035,-72.65089273,https://mspublic.centris.ca/media.ashx?id=ADDD250DDD0AEDCDDB1D9C8D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1989,"1,130 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mont-saint-hilaire/24607988?view=Summary&uc=2,45.56957883,-73.195179,https://mspublic.centris.ca/media.ashx?id=ADDD250D452FF00D100076CD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,85 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/28474803?view=Summary&uc=2,45.3067901,-73.25339817,https://mspublic.centris.ca/media.ashx?id=ADDD250D4528ADFD1940392D11&t=pi&w=1024&h=1024&sm=c,Offices only,,182 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~trois-rivieres/21615433?view=Summary&uc=2,46.332749,-72.559451,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F88EEBD1CF32CFD10&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"23,180 sqft","23,180 sqft",Commercial (1),,,,,,,,Other,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/24478196?view=Summary,45.49488664,-73.56538654,https://mspublic.centris.ca/media.ashx?id=ADDD250D4D7FC4FD10EB16CD10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~salaberry-de-valleyfield/16625613?view=Summary&uc=2,45.26445898,-74.13589286,https://mspublic.centris.ca/media.ashx?id=ADDD250D458F8D8DD638673D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1946,"1,027 sqft","1,433 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~lavaltrie/19557779?view=Summary&uc=2,45.887845,-73.283539,https://mspublic.centris.ca/media.ashx?id=ADDD250D47443EBD148A3F2D1D&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,300 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier-hochelaga-maisonneuve-montreal/14443369?view=Summary&uc=2,45.587258,-73.561334,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DE91F4DD37A2AFD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1977,"1,667 sqft",,Office (1),,,,,,,,"Accounting, Clinic, Health centre, Massotherapy, Office, Photo studio, Real estate agency, Notary, Lawyer",,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/25606990?view=Summary,45.50483139,-73.5555768,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D029E3D1BA99C5D1A&t=pi&w=1024&h=1024&sm=c,Commercial and residential,"1900, Historic","1,560 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/26423320?view=Summary,45.503308,-73.558094,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA2AE2D1F22D1BD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~hull-gatineau/12367085?view=Summary&uc=2,45.425182,-75.717256,https://mspublic.centris.ca/media.ashx?id=ADDD250D4501ED3DD979C53D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1956,"1,652 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/28885707?view=Summary,45.514866,-73.562514,https://mspublic.centris.ca/media.ashx?id=ADDD250D46C1478D19B7479D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,Unknown age,"From 1,500 sqft to 6,000 sqft","5,276 sqft",Commercial (2),,"3,374 sqft",,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/18676201?view=Summary,45.515056,-73.565775,https://mspublic.centris.ca/media.ashx?id=ADDD250D4692D19D1176F5FD1D&t=pi&w=1024&h=1024&sm=c,Residential and commercial,"1870, Century",,"2,114 sqft",Residential (7),,"6,537 sqft",Driveway (4),"6 x 4 ½, 1 x 7 ½","4 rooms, 1 bedroom, 1 bathroom/powder room","$253,801",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~gatineau-gatineau/19326133?view=Summary&uc=2,45.472734,-75.700786,https://mspublic.centris.ca/media.ashx?id=ADDD250D430BD87D14A5C9ED1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2017,"2,879 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~jonquiere-saguenay/22747287?view=Summary&uc=2,48.40416994,-71.16945902,https://mspublic.centris.ca/media.ashx?id=ADDD250D4DF1573D1E91BF0D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,1974,"2,771 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mont-tremblant/17874904?view=Summary&uc=2,46.118489,-74.59511,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A35CED11D963BD11&t=pi&w=1024&h=1024&sm=c,Commercial only,,139 sqft,,Commercial (1),,,,,,,,Massotherapy,,,
https://www.centris.ca/en/commercial-units~for-rent~l-assomption/24690183?view=Summary&uc=2,45.830426,-73.422157,https://mspublic.centris.ca/media.ashx?id=ADDD250D4624AC6D10B95D0D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~brossard/25031078?view=Summary&uc=2,45.473326,-73.477195,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D910D7D103618AD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1966,"3,200 sqft",,Commercial (1),,"13,918 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~riviere-du-loup/20941482?view=Summary&uc=2,47.833533,-69.548314,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF7989D126B888D12&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,855 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/duplexes~for-sale~ville-marie-montreal/9557819?view=Summary,45.515974,-73.565892,https://mspublic.centris.ca/media.ashx?id=ADDD250D4327B04DDF13029D12&t=pi&w=1024&h=1024&sm=c,Residential and commercial,"1870, Century","2,024 sqft","1,025 sqft","Residential (1), Commercial (1)",Attached,"3,807 sqft",Garage (2),,"8 rooms, 8 bedrooms, 8 bathrooms/powder rooms","$181,200",,,Basement 6 feet or +,,1 x 8 ½
https://www.centris.ca/en/commercial-units~for-rent~rouyn-noranda/28282003?view=Summary&uc=2,48.239903,-79.021322,https://mspublic.centris.ca/media.ashx?id=ADDD250D46FC890D186B7F2D14&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,418 sqft","1,418 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~drummondville/21587099?view=Summary&uc=2,45.88098187,-72.49395961,https://mspublic.centris.ca/media.ashx?id=ADDD250D46D08D4D1CFACF9D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,215 sqft,,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/industrial-buildings~for-sale~brownsburg-chatham/13973546?view=Summary&uc=2,45.631358,-74.395195,https://mspublic.centris.ca/media.ashx?id=ADDD250D45E948ADD3E2B48D1D&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,1970,"From 7,750 sqft to 26,270 sqft","10,499 sqft","Commercial (1), Industrial (2)",,"95,308 sqft",,,,,,"Road transport, Hardware store, Antique, Moving company, Storage, Distributor, Building materials, Furniture repair, Auction services, Service station, Other",,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/14087813?view=Summary,45.529026,-73.545432,https://mspublic.centris.ca/media.ashx?id=ADDD250D46A5D26DD3A6ABED10&t=pi&w=1024&h=1024&sm=c,Residential only,1910,,,Residential (10),,"5,756 sqft",,"8 x 3 ½, 2 x 5 ½","3 rooms, 1 bedroom, 1 bathroom/powder room","$109,800",,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/27243889?view=Summary,45.519574,-73.561362,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DAF957D1F69E01D12&t=pi&w=1024&h=1024&sm=c,Commercial only,1978,"2,000 sqft","2,738 sqft",Commercial (1),,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~riviere-des-prairies-pointe-aux-trembles-montreal/17554357?view=Summary&uc=2,45.65549583,-73.56568843,https://mspublic.centris.ca/media.ashx?id=ADDD250D211F667D1D9399ED11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1986,"1,200 sqft",,Commercial (1),,,,,,,,"Accounting, Antique, Arts and Crafts supplies, Bakery, Beauty salon, Bookstore, Boutique, Butcher shop, Candy/Chocolate shop, Caterer, Clinic, Convenience store, Dealer, Driving school, Dry-cleaning, Electronics, Fast food, Florist, Fruits and vegetables, Furniture store, Gift shop, Snack bar",,,
https://www.centris.ca/en/industrial-buildings~for-rent~les-chutes-de-la-chaudiere-est-levis/16740537?view=Summary&uc=2,46.70696975,-71.2709713,https://mspublic.centris.ca/media.ashx?id=ADDD250D173FE29DD660D9FD10&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"7,300 sqft",,Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~saint-eustache/24610370?view=Summary&uc=2,45.58264457,-73.9224819,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D76321D100BAC4D10&t=pi&w=1024&h=1024&sm=c,Industrial only,"Under construction, New","1,500 sqft",,Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/22272974?view=Summary&uc=2,45.6719174,-73.92963267,https://mspublic.centris.ca/media.ashx?id=ADDD250D4C7A036D1E23975D11&t=pi&w=1024&h=1024&sm=c,Commercial only,"To be built, New","9,127 sqft",,Commercial (1),,"30,000 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-hyacinthe/25130892?view=Summary&uc=2,45.62385788,-72.94748149,https://mspublic.centris.ca/media.ashx?id=ADDD250D4562DD4D10600B7D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,900 sqft,,Commercial (1),,"4,454 sqft",,,,,,,,,
