,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
510,ROOFTOP,"4857 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJjyp_INUbyUwRSbKBYQdtIu4,"4857 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5201456,-73.5921777,1,H2T 2Y8,OK,street_address
511,ROOFTOP,"4863 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJa9RuINUbyUwRiVZdd3YG0iE,"4863 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5201816,-73.592221,1,H2T 2Y8,OK,street_address
512,ROOFTOP,"4869 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJ9zy1IdUbyUwRaYxxG7w6-rM,"4869 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5202196,-73.5923362,1,H2T 2Y8,OK,street_address
513,ROOFTOP,"4875 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJJdfpIdUbyUwRej7nfsN4EOo,"4875 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5202636,-73.5924108,1,H2T 2Y8,OK,street_address
514,ROOFTOP,"5011 Avenue de l'Esplanade, Montréal, QC H2T 2P7, Canada",ChIJc1sga9UbyUwRQl6RDCtgAk0,"5011 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5206506,-73.5936365,1,H2T 2P7,OK,street_address
515,ROOFTOP,"5021 Avenue de l'Esplanade, Montréal, QC H2T 2Y9, Canada",ChIJHQmaa9UbyUwRFPE5LzpIzWc,"5021 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5207572,-73.5937402,1,H2T 2Y9,OK,street_address
516,ROOFTOP,"5033 Avenue de l'Esplanade, Montréal, QC H2T 2Y9, Canada",ChIJHSIubNUbyUwRiQ6vMcWMyRE,"5033 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5209505,-73.5937088,1,H2T 2Y9,OK,premise
517,RANGE_INTERPOLATED,"5041 Avenue de l'Esplanade, Montréal, QC H2T 2Y9, Canada",Ejk1MDQxIEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk5LCBDYW5hZGEiGxIZChQKEgk_g7lo1RvJTBHsPNgbZ31tNhCxJw,"5041 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5210352,-73.5942406,1,H2T 2Y9,OK,street_address
518,ROOFTOP,"5044 Rue Saint-Urbain, Montréal, QC H2T 2W3, Canada",ChIJVS8JdNUbyUwRo4MruVTXEbg,"5044 rue Saint-Urbain  (MTL), Montreal,Canada",45.521391,-73.593458,1,H2T 2W3,OK,street_address
519,ROOFTOP,"5038 Rue Saint-Urbain, Montréal, QC H2T 2W3, Canada",ChIJx8JmdNUbyUwR6W2Hk4Nt7MA,"5038 rue Saint-Urbain  (MTL), Montreal,Canada",45.5214194,-73.59333120000001,1,H2T 2W3,OK,street_address
